index,time,lat,lon,psa_s_c.x,psa_s_c.y,psa_s_c.z,s_c.x,s_c.y,s_c.z,rayleigh_s_c.x,rayleigh_s_c.y,rayleigh_s_c.z,psa_azimuth,azimuth,rayleigh_azimuth,n_rayleigh_points,frac_rayleigh_points,total_duration_ms,psa_duration_ms,pixel_loop_duration_ms,eigendecomp_duration_ms
0,2025-11-24T15:37:35+00:00,44.23501890935367,-76.46910410218902,0.14079246172393214,0.9032492600793549,0.4053618838615843,-0.12314551206778583,-0.7919871335531563,-0.5979896012004036,-0.1422665777494481,-0.9024957856961641,-0.4065237725596425,1.4161673080304717,-1.7250503959082246,-1.7271465635993781,679756,0.542340047998366,1249.374082,0.046279999999999995,1249.240135,0.086716
1,2025-11-24T15:37:35+00:00,44.235018911679035,-76.4691041029968,0.1408260428493399,0.903241455860959,0.40536760855989823,-0.12317104857306736,-0.7920629055269096,-0.5978839740967149,-0.14227493129565144,-0.9024678740502827,-0.4065828085789917,1.416129696835368,-1.725067351685329,-1.7271603526681876,680365,0.5428259357128268,1224.8674429999999,0.028758000000000002,1224.610784,0.22720300000000002
2,2025-11-24T15:37:35+00:00,44.23501891309912,-76.46910410366446,0.1408466117096995,0.9032376491110896,0.4053689445408583,-0.12320555206465283,-0.792038719421181,-0.5979089051670831,-0.1423085738414368,-0.9025111822264915,-0.4064748894671812,1.416106823468081,-1.7251145221563196,-1.7271893435090415,680191,0.5426871106515523,1243.6802730000002,0.023584,1243.4352740000002,0.22071100000000002
3,2025-11-24T15:37:35+00:00,44.23501891491328,-76.46910410435913,0.14079352092526506,0.9032441709720455,0.40537285561626973,-0.12321255936373113,-0.7920473709813808,-0.5978960004352948,-0.14232861478614586,-0.9025034736196175,-0.40648498805931477,1.4161653057853762,-1.7251215012125143,-1.727212324790431,680277,0.5427557253370098,1296.108006,0.04261,1295.921616,0.14282899999999998
4,2025-11-24T15:37:36+00:00,44.23501891620026,-76.46910410630699,0.14090991985962859,0.9032197400883718,0.40538684685106297,-0.12318963736318465,-0.7920571666952676,-0.5978877469333121,-0.14236092206610418,-0.902519658935436,-0.406437735826231,1.4160353780192658,-1.7250913665780792,-1.727244493151116,679827,0.5423966950061274,1280.5594629999998,0.048764,1280.266103,0.243554
5,2025-11-24T15:37:36+00:00,44.23501891784157,-76.46910411113349,0.1408540620402082,0.9032242908956615,0.4053961192991406,-0.12320944634303739,-0.7920510888541608,-0.5978917167654864,-0.1423286475661957,-0.9025172265667333,-0.4064544400449693,1.4160965192452535,-1.725116950793653,-1.7272100153815722,679890,0.542446959252451,1325.571622,0.039483000000000004,1325.382097,0.148889
6,2025-11-24T15:37:36+00:00,44.235018919906494,-76.46910411655753,0.140867857626995,0.9032330491906384,0.4053718114735687,-0.12324330766725929,-0.791970680090143,-0.5979912449131589,-0.14238897258470462,-0.9025265273966548,-0.4064126570760406,1.4160830845755616,-1.725174116494506,-1.727273647203497,680096,0.5426113153594772,1300.460049,0.037095,1300.199888,0.22231900000000002
7,2025-11-24T15:37:36+00:00,44.235018923475465,-76.46910412277097,0.14090473472937318,0.9032628882960065,0.4052924997554247,-0.12322011778544173,-0.7921342793117057,-0.5977792954864416,-0.1423831965619887,-0.9026137450774269,-0.4062209405410951,1.4160482574326334,-1.7251141534966459,-1.7272525288548022,680141,0.5426472183925654,1305.450889,0.036886,1305.254573,0.158373
8,2025-11-24T15:37:36+00:00,44.23501892456117,-76.46910412687016,0.14092062918273585,0.9032299604636421,0.40536035177553964,-0.12324013400499638,-0.7920308855776397,-0.5979121554722989,-0.1423576893806462,-0.9024226173921571,-0.40665428547267535,1.4160255264059984,-1.7251586548823497,-1.727257548256016,679749,0.5423344630821079,1312.1591939999998,0.039236999999999994,1312.01275,0.10606
9,2025-11-24T15:37:37+00:00,44.23501892699598,-76.46910413234876,0.14103078649181,0.9032018290517603,0.40538472252794155,-0.12325630704591717,-0.7919614587657419,-0.5980007780956819,-0.142416357015852,-0.9024718793676522,-0.40652440050377214,1.415901720006446,-1.7251919116059193,-1.7273125752115956,679987,0.5425243502348857,1320.396728,0.039285,1320.167047,0.18977100000000002
